,Unnamed: 0,19세 이하,20 ~ 34세,35 ~ 59세,60세 이상
0,서울서부경찰서,44183,22300,72209,111644
1,서울강서경찰서,41381,25216,88163,152898
2,서울성북경찰서,30625,13009,48861,79450
3,세종경찰서,19178,5176,20354,27770
4,서울영등포경찰서,13120,6719,35595,61550
5,서울용산경찰서,10987,5343,27685,44773
6,수원중부경찰서,48972,18582,77990,122389
7,서울동대문경찰서,23646,10627,47479,85930
8,서울관악경찰서,28427,20072,66336,100761
9,서울강북경찰서,35548,16872,65633,103682
10,서울광진경찰서,22892,12362,42650,52905
11,서울강동경찰서,24777,12227,46896,68456
12,진주경찰서,36274,11965,50900,64143
13,서울종로경찰서,5516,2985,16072,28596
14,서울송파경찰서,31786,17159,53325,72330
15,창원중부경찰서,80959,27092,113546,164585
16,서울노원경찰서,49913,30945,104315,162147
17,서울서초경찰서,12616,6742,21634,33495
18,서울서대문경찰서,19288,8611,30492,53458
19,서울중랑경찰서,46362,19807,80331,116848
20,서울양천경찰서,33214,14753,50228,79031
21,서울마포경찰서,16329,9793,31915,55069
22,서울중부경찰서,6478,2912,16092,33159
23,서울동작경찰서,18449,12008,38830,64964
24,서울구로경찰서,23219,10103,36710,61567
25,서울수서경찰서,21113,14586,45815,77293
26,서울성동경찰서,15530,8294,32375,52729
27,서울금천경찰서,20343,9570,38883,60316
28,서울도봉경찰서,30869,12464,46224,64207
29,서울은평경찰서,44183,22300,72209,111644
30,서울종암경찰서,30625,13009,48861,79450
31,수원남부경찰서,48972,18582,77990,122389
32,서울혜화경찰서,5516,2985,16072,28596
33,창원서부경찰서,80959,27092,113546,164585
34,서울방배경찰서,12616,6742,21634,33495
35,서울남대문경찰서,6478,2912,16092,33159
36,서울강남경찰서,21113,14586,45815,77293
37,마산중부경찰서,80959,27092,113546,164585
38,마산동부경찰서,80959,27092,113546,164585
39,진해경찰서,80959,27092,113546,164585
40,수원서부경찰서,48972,18582,77990,122389
